ui_music_volume|Гучнасць музыкі:
ui_cannot_be_used_on_horseback|Нельга выкарыстоўваць верхам
ui_enable_vertex_shaders2|Тып рэндэрынгу:
ui_screen_size2|Дазвол экрана:
ui_use_desktop_resolution2|Як у працоўнага стала
ui_shadow_quality2|Якасць ценяў:
ui_m_low2|Нізкі
ui_m_high2|Высокае
ui_m_ultra_high2|Вельмі высокае
ui_off2|Выкл.
ui_group_header|Клас войскаў
ui_group_rename|Перайменаваць групу
ui_group_1|Пяхота
ui_group_2|Стралкі
ui_group_3|Конніца
ui_group_4|Без назвы 1
ui_group_5|Без назвы 2
ui_group_6|Без назвы 3
ui_group_7|Без назвы 4
ui_group_8|Без назвы 5
ui_group_9|Без назвы 6
ui_group_close|Зачыніць
ui_party_b_group_information|%s ставіцца да групы %s
ui_thrown_or_s|Кідальнае / %s
ui_ranged_damage|Стралковая: %d%s
ui_overall_quality|Агульнае якасць:
ui_shader_quality|Якасць шэйдараў:
ui_flora_lod_detail|Якасць дрэў:
ui_flora_degrade_distance|Адлегласць зніжэння якасці дрэў:
ui_antialiasing|Згладжванне:
ui_use_depth_effects|Эфекты глыбіні
ui_hdr_mode|Рэжым HDR:
ui_autoexpore|Аўтаэкспазіцыя
ui_choose_profile|Выбраць профіль
ui_create|Стварыць
ui_edit|Рэдагаваць
ui_join_game|Далучыцца да гульні
ui_host_game|Стварыць гульню
ui_custom|Карыстальск.
ui_medium|Сярэдн.
ui_male|Мужчына
ui_female|Жанчына
ui_gender|Пол гульца:
ui_edit_profile|Рэдагаваць профіль
ui_new_profile|Новы профіль
ui_enter_username|Імя гульца:
ui_invalid_username|"У імя карыстальніка можна выкарыстоўваць толькі літары лацінскага алфавіту, лічбы і сімвал ""_""."
ui_confirmation|Вы ўпэўненыя?
ui_multiplayer|Сеткавая гульня
ui_server_name|Сервер
ui_module_name|Модуль
ui_game_type|Тып гульні
ui_map_name|Карта
ui_ping|Пінг
ui_dedicated|Вылучаны
ui_number_of_players|Гулец
ui_password_protected|Пароль
ui_connect|Падключэнне
ui_local_area_network|Лакальная сетка
ui_internet|Інтэрнэт
ui_favorites|Любімы
ui_source|Крыніца:
ui_server_password|Пароль сервера:
ui_refresh|Абнаўленне
ui_start_search|Пошук
ui_add_to_favorites|Дадаць у спіс любімых
ui_remove_from_favorites|Выдаліць са спісу любімых
ui_use_speedtree|Тэхналогія Speedtree
ui_use_instancing|Тэхналогія дублявання геаметрыі (паскарае графіку)
ui_error|Памылка
ui_error_server_full|Сервер поўны.
ui_error_server_full_for_non_private|Сервер поўны гульцоў без асабістых пароляў.
ui_error_server_password_incorrect|Няправільны пароль.
ui_error_incorrect_serial|Няправільны серыйны нумар.
ui_error_incorrect_authorization_key|Няправільны ключ аўтарызацыі.
ui_error_banned_from_server|Вы заблакіраваны на гэтым серверы.
ui_error_username_taken|Профіль з такім імем ужо выкарыстоўваецца іншым гульцом.
ui_error_authentication_failed|Памылка аўтарызацыі.
ui_unable_to_connect_to_server|Памылка падлучэння да сервера.
ui_connection_to_server_is_lost|Страта злучэння з серверам.
ui_kicked_from_server|Сервер не пускае.
ui_switch_to_module_question|На гэтым серверы запушчаны модуль, які адрозніваецца ад вашага. Хочаце, каб гульня Mount & Blade пераключылася на гэты модуль?
ui_download_module_question|На гэтым серверы запушчаны модуль, не ўстаноўлены на вашым кампутары. Хочаце зайсці на сайт загружаных файлаў і спампаваць дадзены модуль?
ui_download_mb_new_version_question|На гэтым серверы запушчана больш новая версія (%d.%d%d%d) гульні Mount&Blade. На вашым кампутары цяпер ўстаноўлена гульня версіі %d.%d %d%d. хочаце зайсці на сайт TaleWorlds і спампаваць адсутнічаюць файлы?
ui_download_mb_old_version_question|На гэтым серверы запушчана больш старая версія (%d.%d%d%d) гульні Mount&Blade. На вашым кампутары цяпер ўстаноўлена гульня версіі %d. %d %d %d.
ui_download_module_new_version_question|На гэтым серверы запушчана больш новая версія (%d.%d%d%d) бягучага модуля гульні. На вашым кампутары цяпер усталяваны модуль версіі %d.%d%d%d. хочаце зайсці на сайт загружаных файлаў і спампаваць дадзены модуль?
ui_download_module_old_version_question|На гэтым серверы запушчана больш старая версія (%d.%d%d%d) бягучага модуля гульні. На вашым кампутары цяпер усталяваны модуль версіі %d.%d%d%d.
ui_authenticating_with_steam|Ідзе аўтарызацыя праз Steam...
ui_validating_serial_number|Праверка серыйнага нумара...
ui_scanning_lan|Сканаванне лакальнай сеткі...
ui_retrieving_servers|Атрыманне спісу сервераў...
ui_shield_size2|Памер: %dx%d
ui_click_to_view_notes|Націсніце для прагляду заўваг
ui_retrieving_server_infos|Атрыманне інфармацыі ад сервяроў (%d)...
ui_connecting_to_server|Падключэнне да сервера...
ui_requesting_to_join_the_game|Запыт на далучэнне да гульні...
ui_loading|Загрузка...
ui_group_value_control|Група %d!
ui_drop_weapon|Зброю на зямлю
ui_multiplayer_message_all|Паведамленне ўсім
ui_multiplayer_message_team|Паведамленне камандзе
ui_command_line|Камандны радок
ui_use_ranged_weapon_as_melee|Біць прыкладам
ui_send_message_all|Паведамленне ўсім
ui_send_message_team|Паведамленне камандзе
ui_select|Выбар
ui_context_menu|Кантэкстнае меню
ui_round_starts_in_value_seconds|Гульня пачнецца праз %d секунд...
ui_watching_value|Вядучы: %s
ui_capital_spec|ГЛЯД
ui_capital_dead|ТРУП
ui_instancing_error1|Не ўдаецца зафіксаваць буфер узораў (Памер: %d), кадаванне узораў адключана (код памылкі: %d)
ui_instancing_error2|Could not fit instanced objects, Disabled mesh-instancing
ui_by_keyboard|Клавішамі перамяшчэння
ui_combat_speed_slowest|Мін.
ui_combat_speed_slower|Нізк.
ui_combat_speed_normal|Сярэдн.
ui_combat_speed_faster|Хутк.
ui_combat_speed_fastest|Макс.
ui_module_newer_than_application|Абраны вамі модуль патрабуе больш новай версіі гульні.
ui_module_older_than_application|Абраны вамі модуль патрабуе больш старой версіі гульні.
ui_unbalanced|Няма балансу
ui_can_crush_through_blocks|Можна прабіваць блокі
ui_turn_camera_with_horse|Камера ад першай асобы-паварот за канём
ui_widescreen_mode_on|Укл. шматэкранны рэжым
ui_widescreen_mode_off|Выкл. шматэкранны рэжым
ui_notification_cant_upgrade|(Не ўдаецца павысіць - недастаткова грошай)
ui_turn_never|Ніколі
ui_turn_ranged_only|Толькі зброя далёкага бою
ui_turn_melee_only|Толькі зброя блізкага бою
ui_turn_always|Заўсёды
ui_general_options|Агульныя налады
ui_vac_enabled|Рэжым Valve Anti Cheat уключаны
ui_campaign_ai|ІІ кампаніі:
ui_downloading_map|Ідзе загрузка карты (%d Кб)
ui_download_completed|Загрузка завершана.
ui_server_filter|Фільтр сервера
ui_has_players|Ёсць гульцы
ui_is_not_full|Ёсць месцы
ui_is_password_free|Без пароля
ui_native_only|Толькі для мясцовых
ui_ping_limit|Ліміт пінгу
ui_filter_info|%d гульняў і %d гульцоў адфільтравана
ui_is_version_compatible|Сумяшчальна з версіяй
ui_ttnet_account|Уліковы запіс Ttnet
ui_username|Імя карыстальніка
ui_password|Пароль
ui_error_incorrect_username_or_password|Няправільнае імя карыстальніка або пароль
ui_validating_account|Праверка ўліковага запісу...
ui_plase_enter_your_serial_key|Калі ласка, увядзіце ваш серыйны нумар.
ui_texture_detail2|Дэталізацыя тэкстур:
ui_antialiasing2|Згладжванне:
ui_cut|Рэжучая
ui_pierce|Колючая
ui_blunt|Тупая
ui_use_melee_weapons_e_|Выкарыстоўваць зброю блізкага бою!
ui_use_ranged_weapons_e_|Выкарыстоўваць зброю далёкага бою!
ui_order_button_use_melee_weapons|Выкарыстоўваць зброю блізкага бою
ui_order_button_use_ranged_weapons|Выкарыстоўваць зброю далёкага бою
ui_order_button_weapon_usage_orders|Загады па выкарыстанні зброі
ui_fire_at_my_command_e_|Страляць па маёй камандзе!
ui_fire_now_e_|Агонь!
ui_order_button_fire_at_my_command|Страляць па маёй камандзе
ui_order_button_fire_now|Агонь
ui_order_form_1_row|Сфарміраваць 1 рад
ui_order_form_2_row|Сфарміраваць 2 рады
ui_order_form_3_row|Сфарміраваць 3 рады
ui_order_form_4_row|Сфарміраваць 4 рады
ui_order_form_5_row|Сфарміраваць 5 радоў
ui_form_1_row_e_|Сфарміраваць 1 рад!
ui_form_2_row_e_|Сфарміраваць 2 рады!
ui_form_3_row_e_|Сфарміраваць 3 рады!
ui_form_4_row_e_|Сфарміраваць 4 рады!
ui_form_5_row_e_|Сфарміраваць 5 радоў!
ui_order_7|Выбраць загад 7
ui_order_8|Выбраць загад 8
ui_all_fire_now_e_|Усім, агонь!
ui_left_fire_now_e_|Левы фланг, агонь!
ui_middle_fire_now_e_|Цэнтральная група, агонь!
ui_right_fire_now_e_|Правы фланг, агонь!
ui_order_button_all_fire_now|Усім, агонь
ui_order_button_left_fire_now|Левы фланг, агонь
ui_order_button_middle_fire_now|Цэнтральная група, агонь
ui_order_button_right_fire_now|Правы фланг, агонь
ui_crouch|Прысесці
