qstr_Next_Page|Наступная старонка
qstr_Only_you_know_exactly_wh|Толькі вы можаце дакладна сказаць, што прымусіла вас пакінуць сваё ранейшае жыццё і адправіцца на пошукі прыгод. Усе вакол ўпэўненыя, што вы вынікаеце за нейкай сваёй незразумелай мэтай. Вы хочаце багацця, улады, павагі, хочаце, каб вас баяліся... Вы хочаце, каб вам падпарадкоўваліся, каб ваша імя ведалі ўсе, і каб адзін яго гук зрываў людзей у дрыжыкі. Вы хочаце ўсяго і адразу, і не дазволіце нікому перашкодзіць вам атрымаць жаданае!
qstr_Back_to_the_beginnin|Вярнуцца да пачатку...
qstr_View_next_segment...|Наступная частка...
qstr___| -
qstr__+| +
qstr_^No_food:___{reg7}|^Няма ежы: - {reg7}
qstr_^Wage_debt:___{reg6}|^ Запазычанасць: - {reg6}
qstr_Current_party_morale|Баявы дух атрада зараз роўны {reg5}.^ ^ На яго ўплываюць:^ ^ Базавае Значэнне: + 50 ^ памер атрада: {s2}{reg1}^лідэрства: {s3}{reg2}^разнастайнасць ежы: {s4}{reg3}{s5}{s6}^нядаўнія падзеі: {s7}{reg4} ^ усяго: {reg5}
qstr_Defending|Абарона
qstr_Gathering_army|Збор арміі
qstr_Besieging_{s11}|Аблога {s11}
qstr_Raiding_{s11}|Напад на {s11}
qstr_Attacking_enemies_ar|Напад на ворагаў каля {s11}.
qstr_No_one|Ніводны
qstr_{s9}{s10}^Current_st|{s9}{s10}^званне: {s11}^Маршал: {s12}^з апошняга нападу прайшло: {reg1} гадзін^дапамагала пры нападзе: {reg2} чалавек^^
qstr_Selected_faction_is:|Абраная дзяржава: {s10}^ ^ {s9}
qstr_You_are_currently_re|Вы чытаеце кнігу пад назвай {s8}.
qstr_You_are_not_reading_|Вы не чытаеце кніг.
qstr_none|none
qstr_{s5}_and_{s6}|{s5} і {s6}
qstr_{s5}_{s6}|{s5}, {s6}
qstr_Renown:_{reg2}.^Hono|Вядомасць: {reg2}.^ Павага: {reg3}.^ Сябры: {s8}.^ Ворагі: {s6}.^{s9}
qstr_Your_estates_are:_{s|Вашы маёнткі: {s8}.^{s9}
qstr_You_are_a_lord_of_{s|Вы-дваранін {s8}.^{s9}
qstr_Current_party_size_l|Максімальны памер атрада: {reg5}.^ ^ На яго ўплываюць:^ ^ базавы памер атрада: + {reg4}^лідэрства: {s2}{reg1}^Харызма: {s3}{reg2}^вядомасць: {s4}{reg3} ^ усяго: {reg5}
qstr_Loyal|Адданасьць
qstr_Devoted|Адданасьць
qstr_Fond|Прыязнасць
qstr_Gracious|Прыязнасць
qstr_Friendly|Падтрымка
qstr_Supportive|Падтрымка
qstr_Favorable|Сімпатыя
qstr_Cooperative|Сімпатыя
qstr_Accepting|Абыякавасьць
qstr_Indifferent|Абыякавасьць
qstr_Suspicious|Абыякавасьць
qstr_Grumbling|Падазронасць
qstr_Hostile|Падазронасць
qstr_Resentful|Нездавальненне
qstr_Angry|Нездавальненне
qstr_Hateful|Нянавісць
qstr_Revengeful|Нянавісць
qstr_Vengeful|Варожасць
qstr_{s2}^{s4}:_{reg1}__{|{s2}^{s4}: {reg1} ({s3})
qstr_Your_relation_with_t|Вашы адносіны з дзяржавамі:^{s2}
qstr_V_{s10}_stroitsya_{s|У {s10} ідзе пабудова {s11}. Засталося {reg4} дзён {reg5} гадзін
qstr_V_{s10}_postroeno_{s|У {s10} завершана пабудова {s11}.
qstr_Player_renown_is_inc|Вядомасць гульца павялічылася на 100.
qstr_{reg1}_{s1}_{reg2?ac|{reg2?{s1} ({reg1} чалавек) прымаюць: {reg1} {s1} прымае} прапанову.
qstr_No_one_accepts_the_o|Ніхто не прыняў прапанову.
qstr_You_start_reading_{s|Вы зазіраеце ў кнігу пад назвай {s2}. Прагледзеўшы некалькі старонак, вы разумееце, што зможаце многае запазычыць з гэтай кнігі. Вы вырашаеце трымаць яе паблізу і чытаць у вольны час.
qstr_You_flip_through_the|Вы прагортваць кнігу пад назвай {S2}, але тэкст аказваецца занадта складаным для вас. Ад далейшага чытання пачынае балець галава, і вы вымушаныя спыніць.
qstr_You_paid_{reg3}_of_y|Вы заплацілі {reg3} з вашых {reg4} талераў сваім людзям. У вас засталося {reg5} талераў
qstr_Your_debt_to_your_me|Вы запазычылі сваім людзям {reg3} талераў, але ў вас ёсць толькі {reg4}. Нявыплачаная сума ў {reg5} талераў дадасца да вашага абавязку. Баявы дух вашага атрада падае
qstr_This_week_s_wages:_{|Тыднёвае жалаванне: {reg6} талераў^даўгі: {reg2} талераў^разам: {reg3} талераў^у наяўнасці: {reg4} талераў^ ^ {s1}
qstr_Villagers|Сяляне
qstr_You_have_encountered|На шляху вам сустрэліся {s1}.
qstr_Armiya_protivnika_po|Армія праціўніка адступіла да лагера.
qstr_You_have_engaged_{s1|Вы трапляеце на поле бою. {s1} атакуюць, {s3} абараняюцца. Вы вырашаеце, што {S3} маюць патрэбу ў вашай дапамогі.
qstr_You_were_caught_by_{|Вас напаткалі {s1}. У гэты момант {S3} адбіваліся ад вашых нападаў.
qstr_You_were_victorious!|Вы перамаглі!
qstr_Battle_was_lost._You|Бітва прайграна. Ваша войска ўшчэнт разбіта.
qstr_Your_companions_carr|Вашы спадарожнікі выносяць вас з месца бітвы.
qstr_You_have_defeated_th|Вы перамаглі ворага.
qstr_You_have_retreated_f|Вы адступілі з поля бою.
qstr_^^Ally_Casualties:{s|^ ^ Страты саюзнікаў: {s0}
qstr_{s1}_of_{s3}_managed|{s1} з {s3} змог схавацца.
qstr_{s17}|{s17}
qstr__V_gorode_ostalos_{r|У жывых засталося {reg0} воінаў, якіх вы ўзялі ў палон. Што вы збіраецеся з імі зрабіць?
qstr__V_gorode_ostalos_{re|У жывых засталося {reg0} воінаў, якіх вы вызвалілі ад палону. Залічыць іх у гарнізон?
qstr_Victory_comment._Pla|Перамога. Гулец быў адзін.
qstr_Ordinary_victory_com|Звычайная перамога. Гулец прывёў з сабой як мінімум 40 адсоткаў сіл.
qstr_Player_participation|Удзел гульца. Першапачатковая сіла ворага была роўная як мінімум 1К.
qstr_No_victory_comment._|Перамогі няма. Бітва была невялікай, і гулец прывёў з сабой менш за 40 адсоткаў усіх саюзных войскаў.
qstr_Some_of_your_tendons|У баі вы пашкодзілі некалькі сухажылляў. Ваша сіла паменшылася на 1.
qstr_You_took_a_nasty_wou|Вы атрымалі непрыемную рану. Яшчэ доўга пасля выздараўлення вы будзеце накульгваць. Ваша спрыт паменшылася на 1.
qstr_You_have_trouble_thi|Пасля бою вы ніяк не можаце сабрацца з думкамі-магчыма, віной таму моцны ўдар па галаве, які вы атрымалі. Акрамя гэтага вас сталі мучыць галаўныя болі. Ваш інтэлект паменшыўся на 1.
qstr_Perhaps_I_m_getting_|Магчыма, удача адвярнулася ад мяне...
qstr_Retirement_is_starti|Адстаўка здаецца мне ўсё больш прывабнай.
qstr_No_matter!_I_will_pe|Нічога! Перажыву!
qstr_What_did_I_do_to_des|За што мне ўсё гэта?
qstr_I_suppose_it_ll_make|Што ж, прынамсі будзе, што расказаць.
qstr_Player_retreats_from|Гулец сыходзіць з поля бою.
qstr_{s9}_wants_you_to_fo|{s9} хоча, каб вы ішлі за яго арміяй да далейшага паведамлення.
qstr_{s8}_of_{s9}|{s8} з {s9}
qstr__Your_own_banner_fli| Гэтая крэпасць належыць вам.
qstr__You_see_the_banner_| Гэтая крэпасць належыць {s7}.
qstr__This_castle_seems_t| У гэтай крэпасці няма гаспадара.
qstr__Your_own_banner_flie| Над гарадскімі варотамі лунае ваш сцяг.
qstr__You_see_the_banner_o| Гэты горад належыць {s7}.
qstr__The_townsfolk_here_| Мясцовыя жыхары абвясцілі сваю незалежнасць.
qstr_Zapasov_edi_v_{reg6?|Запасаў ежы ў {reg6?горадзе: крэпасці} хопіць яшчэ на {reg3} дзён.
qstr_Zapasov_edi_v_{reg6?g|Запасы ежы ў {reg6?горадзе: крэпасці} скончыліся. Абаронцы галадаюць.
qstr_Vi_stroite_lestnici_|Вы прыступілі да пабудовы лесвіц. Да заканчэння работ засталося {reg9} гадзін.
qstr_Prokladka_podkopa_dl|Закладка міны зойме яшчэ {reg9} гадзін.
qstr_Postroika_lestnic_za|Падрыхтоўка завершана. Вы можаце пачаць штурм у любы час.
qstr_Postroika_podkopa_za|Падрыхтоўка завершана. Вы можаце пачаць штурм у любы час.
qstr_As_a_last_defensive_|Сабраўшы пакінутыя сілы, вы адступаеце ў галоўны зала крэпасці. Тут вы са сваімі салдатамі дасце апошні адчайны бой. Калі вы пацярпіце паразу, адступаць будзе некалі.
qstr_You_ve_been_driven_a|Вы вымушаныя адступіць ад сцен-атакуючыя апануюць вуліцы. Калі вы пераможаце іх, то, магчыма, здолееце выратавацца.
qstr_You_ve_breached_the_|Вы прабіліся праз сцены, але абаронцы ўпарта працягваюць стрымліваць вас на вуліцах! Прыйдзецца разабрацца з імі, перш чым вы зможаце напасці на крэпасць у цэнтры горада.
qstr_The_town_centre_is_y|Вы занялі цэнтр горада. Каб ваша перамога была поўнай, вам трэба перамагчы пакінутых абаронцаў.
qstr_The_remaining_defend|Апошнія абаронцы схаваліся ў крэпасці. Вы павінны ўвайсці туды і здушыць апошні ачаг супраціву.
qstr__kriticheskie|крытычны
qstr__ogromnie|велізарны
qstr__visokie|высокі
qstr_However_since_you_ar|Аднак вы не давалі прысягу {s9}, таму вас не прызнаюць за {новага спадара/новую спадарыню} у {reg8?гэтым горадзе: гэтай крэпасці}.
qstr_The_enemy_has_been_f|Вораг быў вымушаны адступіць. Бітва скончана, але аблога працягваецца.
qstr__This_village_and_th| Гэтая вёска і прылеглыя землі належаць вам.
qstr__You_remember_that_t| Вы ўспамінаеце, што гэтая вёска і прылеглыя землі належаць {s7}.
qstr__These_lands_belong_| Гэтыя землі нікому не належаць.
qstr__{s3}__{reg9}_.| {s3} ({reg9}).
qstr__The_village_is_infe| На вёску здзейснены напад! Нападаючыя: {s35} ({reg8} чалавек).
qstr__The_village_has_bee| Вёска спустошана. Жменька людзей у страху разбягаецца, калі вы праходзіце міма спаленых дамоў.
qstr__The_village_is_bein| На вёску здзейснены напад!
qstr_No_one_here_seems_to|Ніхто не гарыць жаданнем далучацца да вашага атраду.
qstr_One_{s3}_volunteers_|Адзін {s3} выклікаецца пайсці з вамі.
qstr_{reg5}_{s3}_voluntee|З вамі выклікаюцца пайсці {reg5} чалавек.
qstr_Try_as_you_might_you|Як бы вы ні спрабавалі, з разбойнікамі вам не справіцца. У лютасьці яны разносяць вёску па каменьчыку, каб правучыць сялян, і пакідаюць за сабой выпаленую зямлю.
qstr_village|вёска
qstr_town|горад
qstr_castle|крэпасць
qstr_{s18}_{s0}|{s18}, {s0}
qstr_The_{s17}_has_no_imp|У {s17} няма паляпшэнняў.
qstr_The_{s17}_has_the_fo|У {s17} ёсць паляпшэнні: {s18}.
qstr_The_assasins_beat_yo|Забойцы збіваюць вас і кідаюць, вырашыўшы, што вы мёртвыя.
qstr_You_have_fallen._The|Вы падаеце. Разбойнікі хутка абшукваюць ваша цела, забіраюць усё хоць трохі каштоўнае і раствараюцца ў ночы. Вы жывыя, і гэта галоўнае.
qstr_Luckily_some_of_your|На шчасце, вашы спадарожнікі, устрывожыліся, бо вас доўга няма. Знайшоўшы вас пры дарозе, яны адносяць вас у бяспечнае месца і перавязваюць вашы раны.
qstr_Luckily_some_passing|На шчасце, некалькі гараджан знаходзяць вас пры дарозе і разумеюць, што вы не проста жабрак або п'яніца. Яны адносяць вас на бліжэйшы заезны двор і перавязваюць вашы раны.
qstr_You_fail_to_steal_an|Вам не ўдаецца выкрасці жывёлу.
qstr_You_drive_away_{reg1|Вы адводзіце з вясковага статка {reg17} {reg12?:} галоў жывёлы.
qstr_OiM_Teper_luchshe_{s|Зараз лепш не трапляцца на вочы {s9}.
qstr_OiM_Potop_Loshad_tep|Конь захоплены. Пара даставіць яго на месца.
qstr_You_are_at_{s2}.|Вы знаходзіцеся ў {s2}.
qstr__You_have_successful| Вы паспяхова праслізнулі ўнутр.
qstr___{reg1}_denars_per_| ({reg1} талераў за ноч)
qstr_Moreover_you_earn_{r|У дадатак, вы атрымліваеце {reg8} талераў з разумных ставак, якія вы зрабілі на сябе.
qstr_Victory_is_yours!_Yo|Перамога за вамі! Вы выйгралі гэты бой, але вам трэба рыхтавацца да наступнага раунда.
qstr_You_have_been_bested|У гэтым баі вы пацярпелі паразу, але цырымоніймайстар прызнае вашу спрыт і адвагу, і дазваляе вам прыняць удзел у наступным раўндзе.
qstr_{s11}^{s12}|{s11}^{s12}
qstr_You_were_beaten._The|Вы пацярпелі няўдачу. Сяляне радуюцца поспеху, але ўрок, які вы хацелі ім падаць, не атрымаўся...
qstr_After_beating_your_l|Адолеўшы ўсіх праціўнікаў, вы тлумачыце сялянам, як лепш абараняцца ад такіх нападаў. Будзем спадзявацца, што яны ўсё зразумеюць і як след падрыхтуюцца.
qstr_The_bandits_are_brok|Разбойнікі пераможаны! Тыя, хто застаўся ў жывых і ў свядомасці, бег без аглядкі, спалохаўшыся сялян і іх новага абаронцы.
qstr_{s1}_s_Ship|Гаспадар карабля: {s1}
qstr_^{s3}_=_{reg1}{s1}|^{s3} = {reg1}{s1}
qstr_^{s3}_=_{reg1}{s2}|^{s3} = {reg1}{s2}
qstr_However_{reg3?You_ar|Аднак {reg3?вы: {s1}} не ў сілах знайсці тавараў, якія прынеслі б вам прыбытак.
qstr_^Buying_{s4}_here_an|^Калі купіць {S4} тут і прадаць у {s5}, гэта прынясе Вам прыбытак у памеры {reg6} талераў за штуку. {s3}
qstr_{reg3?You_find:{s1}_|{reg3?Вы высвятляеце: {s1} высвятляе} наступнае:^{s3}
qstr__Continue....|Працягнуць...
qstr__Ne_hvataet_money_nu|Не хвататет грошай. Трэба {reg8} талераў.
qstr__Back|Працягнуць...
qstr__Stoimost_{reg8}_din|Кошт: {reg8} талераў.
qstr__Continue|Працягнуць...
qstr_{s2}^{reg1}_{s1}_ear|{s2}^{reg1} {s1} атрымлівае {reg0} ачкоў вопыту.
qstr_{s2}^{s1}_earned_an_|{s2}^{s1} атрымлівае яшчэ {reg0} ачкоў вопыту.
qstr_^You_earned_{reg0}_e|^Вы атрымліваеце {reg0} ачкоў вопыту.{s2}
qstr_The_training_didn_t_|Навучанне прайшло вельмі дрэнна.
qstr_The_training_didn_t_g|Навучанне прайшло не вельмі добра.
qstr_The_training_went_qu|Навучанне прайшло цалкам нармальна.
qstr_The_training_went_ve|Навучанне прайшло вельмі добра.
qstr_The_training_went_pe|Навучанне прайшло выдатна.
qstr_{s13}_asked_you_to_r|{s13} просіць вас прыйсці яму на дапамогу з войскам, колькасцю не менш {reg13} чалавек.
qstr_{s13}_ordered_you_to|{s13} загадвае вам далучыцца да атакі на {s14}.
qstr_Find_and_speak_with_|Знайдзіце {S3} з {S4} і прынясіце яму прысягу.
qstr_you|вы
qstr_OiM_You_ve_failed_to|Вам не ўдалося абараніць вёску.
qstr_OiM_You_ve_protected|Вы разбілі ворагаў. Можна працягнуць шлях.
qstr_OiM_You_ve_failed_to_|Вам так і не ўдалося даставіць каня.
qstr_OiM_You_ve_protected_|Вам удалося сысці ад праследавацеляў. Трэба хутчэй даставіць каня на месца, пакуль на яго не паквапіўся хто-небудзь яшчэ.
qstr_OiM_Da_takoe_bivaet_|Такі шанец бывае толькі раз у жыцці.
qstr_OiM_Potop_Pani_osvob|Пані вызвалена. Час ісці ў зваротны шлях.
qstr_OiM_Potop_kshetuskiy|Вам трэба прабрацца ў стайню.
qstr_OiM_You_ve_failed_to_w|Вам так і не ўдалося зламаць супраціў ворагаў, і вы прайгралі бітву.
qstr_OiM_You_ve_got_the_h|Вам удалося сысці ад праследавацеляў. Трэба хутчэй даставіць каня Скшетускому.
qstr_Kozaki_podnyali_na_n|Казакі паднялі на ногі варту!
qstr_OIM_getman_heroe_can|Даклад прэцэптара венгерскага горада Бергхофф вялікаму магістру: ^ ^ месір! Аб легендарным чорным Гетмане ўдалося даведацца наступнае: гэта рэліквія адной з фамільных галін кіраўнікоў Русі. Паводле сямейнага падання князёў Ольгавічаў, у сярэдзіне XII стагоддзя ад нараджэння Хрыстова іх продкі заключылі таемны саюз з паганскімі жрацамі - вешчунамі. Вешчуны мелі ўплыў на просты народ, і з іх дапамогай князі хацелі ўзурпаваць уладу. Менавіта тады вешчуны перадалі Вольгавічам Чорны Гетман-пернач, які дае ўладальніку велізарную ўладу. Князі выбудавалі непадалёк ад Кіева Кірылаўскі манастыр, дзе пернач, мяркуючы па ўсім, і захоўваецца. ^ ^ Прыкладна такое ж паданьне ёсьць і ў жмудзінскіх магнатаў, Радзівілаў. Як высветлілася, Радзівілы-старажытны жрэцкі род, карані якога сыходзяць яшчэ да часоў Рурыкавічаў.
qstr_OIM_getman_heroe_nee|Кніга напісана на старажытным, невядомым вам мове. Вам трэба знайсці каго-небудзь, хто змог бы перавесці яе.
qstr_OIM_add__pora_nayti_|Правёўшы доўгія гадзіны ў архівах, вы высветлілі, што пернач, мяркуючы з усяго, знаходзіцца ў пахавальні Радзівілаў. 
qstr_OiM_You_ve_failed_to_wi|Вы прайгралі бітву. Варта звязала вас і кінула ў вязніцу.
qstr_OiM_You_ve_wing_the_|Кароль скінуты.
qstr_OIM_add_getman__Da_z|Не дарма Радзівіл так хацеў завалодаць перначом. Таго, хто валодае чорным гетманам, хутчэй за ўсё, падтрымаюць усе старажытныя роды. Паспрабуйце знайсці гэты старажытны артэфакт...
qstr_OIM_add_getman__Knig|Кнігу без талмача не прачытаць. 
qstr_OIM_add_getman__Prik|Пара Паказаць ворагам, як змагаюцца сапраўдныя казакі. 
qstr_OIM_add_getman__Nuzh|У гетмана ёсць новае даручэнне для вас. Вам трэба з ім сустрэцца.
qstr_OiM_dmitriy_Teper_ko|Цяпер, калі ахова турмы мёртвая, толькі цар ведае вас у твар. Вам трэба знайсці моцнага заступніка, які б вас абараніў.
qstr_OIM_add_getman__Prika|Барабаш загадвае вам скарыць Маскоўскае царства.
qstr_OIM_add_getman__Bunt|Бунт быў патоплены ў крыві. Барабаш хоча вас бачыць.
qstr_you_we_lost_the_figh|Вы прайгралі бой. Да таго ж, вам прыйдзецца аддаць суперніку {reg0} талераў.
qstr_you_won_the_fight._A|Вы выйгралі {reg0} талераў. Акрамя таго, вы вывучылі новыя прыёмы бою.
qstr_you_we_lost_the_fight|Вы пераможаны. Вам пашанцавала, вы абышліся лёгкім раненнем.
qstr_you_won_the_fight._An|Вы выйгралі бойку і вывучылі пару новых прыёмаў.
qstr_You_ve_got_wound.._I|Вы атрымалі траўму. Вам варта крыху адпачыць і адужэць.
qstr_oim_the_duel_is_over|Вынік гэтага бою-нічыя.
qstr_oim_the_duel_is_over.|Вы прайгралі. Вам варта патрэніравацца ў стральбе.
qstr_oim_the_duel_is_over._|Доўгія трэніроўкі з мушкетам не прайшлі дарма. Вы выйгралі.
qstr_You_sought_that_the_|Падчас вячэры ў карчме вы звярнулі ўвагу на заможнага гараджаніна. Вы бачыце, што той злёгку падвыпіў, і разумееце, што цяпер зручны момант, каб трохі палегчыць яго цяжкі кашэль...
qstr_There_is_gourds._It_|Адпачыўшы і ад душы наеўшыся ў карчме, вы вырашаеце працягнуць шлях.
qstr_You_lost_the_fight._|Вы прайгралі. Варта, заўважыўшы дэбош, скруціла вас...
qstr_The_man_is_dead..._Y|Вы забілі свайго суперніка. Вы забіраеце невялікую суму з яго кашэля і яго зброю.
qstr_you_were_killed_as_c|Вердыкт суда быў суровы: за забойствы і рабаванні {playername} прысуджаны да смяротнага пакарання праз павешанне. 
qstr_Nu_vow_vostaniye_zak|Паўстанне скончылася. Пара пагаварыць з Разіным.
qstr_Razin_now_is_the_mar|Разін стаў маршалам.
qstr_OiM_text_for_main_qs|Пасланец перадаў, што вас хоча бачыць сам кароль...
qstr_Viberite_nuzhnuyu_va|Выберыце патрэбную паслугу
qstr_Na_daniy_moment_eto_|Цэнтр гэтага паселішча пакуль што пустуе, і толькі вецер гуляе па пустых вуліцах. 
qstr_V_vashem_otryade_net|У вас няма ніводнага спадарожніка.
qstr_V_vashem_otryade_ime|У вашым атрадзе ёсць спадарожнікі, якіх можна навучыць.
qstr_Prosmotret_spisok_go|Паглядзець спіс не абложаных гарадоў, у якіх ёсць памочнікі.
qstr_U_vas_net_gorodov_gd|Вам пакуль няма куды адправіць памочніка.
qstr_Vam_nuzhno_poslat_go|Ваша сталіца захоплена. Вы павінны прызначыць часовую сталіцу.
qstr_Vibor_stolici_proshe|Зараз у вас новая сталіца.
qstr_Vam_nuzhno_vibrat_di|У вас няма ні сталіцы, ні горада, куды б вы маглі яе перанесці.
qstr_{s5}|{s5}
qstr_{s6}_^{s5}|{s6} ^{s5}
qstr_{s7}|{s7}
qstr_{s8}_^{s7}|{s8} ^{s7}
qstr_Breaking_camp...|Зняцце лагера...
qstr_{s65}|{s65}
qstr_Current_wealth:_{reg|Ваш стан: {reg1}
qstr_Your_party_is_spotte|У {s1} заўважаюць ваш атрад.
qstr_{reg1}_{s1}_{reg2?ha|{s1} ({reg1}) {reg2?збеглі: збег з атрада ноччу.
qstr_{s1}_of_{s3}_has_bee|{s1} з {s3} зноў на волі.
qstr_Building_of_{s0}_in_|Будаўніцтва {s0} у {s4} было завершана.
qstr_{s1}_is_no_longer_in|{s1} больш не пакутуе ад начных нападаў разбойнікаў.
qstr_You_pay_for_accommod|Вы плаціце за пражыванне.
qstr__Your_tactics_skill_| Ваш навык тактыкі павялічыўся на 1.
qstr__Your_persuasion_ski| Ваш навык перакананні павялічыўся на 1.
qstr__Your_leadership_ski| Ваш навык лідэрства павялічыўся на 1.
qstr__Your_intelligence_h| Ваш інтэлект павялічыўся на 1.
qstr__Your_trade_skill_ha| Ваш навык гандлю павялічыўся на 1.
qstr__Your_weapon_master_| Ваш навык валодання зброяй павялічыўся на 1.
qstr__Your_engineer_skill| Ваш навык інжынерыі павялічыўся на 1.
qstr_You_have_finished_re|Вы скончылі чытаць {S1}.{s2}
qstr_Book_Read|Чытанне кнігі
qstr_You_must_follow_{s1}|Выконвайце за {S1}!
qstr_You_must_follow_{s1}!|Выконвайце за {S1}! Гэта ваша апошняе папярэджанне!
qstr_{s1}_is_scouted.|Мясцовасць вакол {s1} абследаваная.
qstr_{s1}_has_switched_fr|{s1} змяніў {s2} на {s3}.
qstr_{s4}_is_in_{s5}|{s4} знаходзіцца ў {s5}
qstr_OiM_Ne_uspeli_otoyti|Не паспелі вы адысці ад казакоў, як палонны паспрабаваў з вамі загаварыць.
qstr_OiM_add_{s2}_joined_|{s2} далучыўся да мецяжу Заглобы!
qstr_{s5}^_{s1}|{s5}^ {s1}
qstr_You_promised_to_help|Вы абяцаеце аказаць падтрымку {s13} пры спробе прэтэндаваць на трон {s14}.
qstr_{s6}_has_joined_your_|{s6} далучаецца да вашага атраду.
qstr_{reg65?my_Lady:my_Lo|{reg65?спадарыня: спадар}
qstr_{reg65?My_Lady:My_Lo|{reg65?спадарыня: спадар}
qstr_{reg65?madame:sir}|{reg65?спадарыня: спадар}
qstr_{reg65?Madame:Sir}|{reg65?спадарыня: спадар}
qstr_Viberite_variant.|Вось што я магу вам прапанаваць:
qstr_Seychas_vse_dostupni|Цяпер усе даступныя афіцэры занятыя навучаннем навабранцаў. 
qstr_U_vas_nedostatochno_|Ваш кашэль занадта худы нават наняць апалчэнца!
qstr_Vot_vse_chto_dostupn|Вось што я магу прапанаваць вам.
qstr_Vot_chto_vam_seychas|Зараз даступна:
qstr_Na_daniy_moment_net_|Няма даступных варыянтаў.
qstr_Ya_seychas_zaynuat_p|Прашу прабачэння, але я ўсё яшчэ заняты вашым загадам адносна {s1}. Я вызвалюся праз {reg2} {reg1?дзён: гадзін}.
qstr_Viberite_zhelayumiy_|Што цябе цікавіць?
qstr_Zdes_esche_net_{s1}.|Тут яшчэ няма {s1}
qstr_Zdes_uzhe_est_{s1}.|Тут ужо ёсць {s1}
qstr_{reg0?Naynyat:Postro|{reg0?Наняць: Пабудаваць}.
qstr_U_vas_zdes_uzhe_post|У вас ужо пабудаваны наступныя Будынкі:^
qstr_Zdes_k_tebe_loyalni_|У гэтым горадзе вы прызначылі людзей на наступныя пасады:^
qstr_U_vas_nichego_esche_|Пакуль што ў гэтым кірунку мы не прыспелі. 
qstr_It_s_your_money_or_y|Кашалёк або жыццё, {пане / васпані}. Ды не рыпайся, калі жыццё дарога.
qstr_Lucky_for_you_you_ca|Добры будзь, спадар добры. Якая сустрэча. ^Ну-ка аддавай срэбра ды ідзі падабру-павітаю.
qstr_This_a_robbery_eh?_I|Чуеш, спадар, гэта рабаванне. Давай сюды, калі жыць хочаш. У маіх хлопцаў ножычкі ведаеш якія вострыя?
qstr_we_have_made_very_li|мы амаль не прасунуліся наперад
qstr_we_have_suceeded_in_|мы заваявалі крыху зямлі, але наперадзе доўгі шлях
qstr_we_have_become_a_sig|мы сталі значнай сілай, і цяпер у нас ёсць шанцы на перамогу
qstr_we_are_winning_the_w|мы выйграем вайну, але ворагі яшчэ трымаюцца
qstr_we_are_on_the_verge_|мы амаль перамаглі. Тыя, што засталіся ворагі не ўяўляюць пагрозы, але ўсё ж трэба высачыць іх
qstr_Yes_{s5}?|Так, {S5}?
qstr__no_fiefs_|(Маёнткаў няма)
qstr__fiefs:_{s0}_|(Уладанні: {s0})
qstr_{playername}_when_we|{playername}, у самым пачатку мала ў каго хапала смеласці падтрымаць мяне, і яшчэ менш было тых, хто гатовы быў аддаць за мяне жыццё. Але ў табе не было ні кроплі сумневаў, калі трэба было разрабіцца з маімі ворагамі. Мы шмат чаго перажылі разам, і бывалі моманты, калі надзея амаль пакідала мяне. Але, з Божай дапамогай, мы перамаглі. Цяпер мне трэба пакінуць цябе і ўзяць тое, што належыць мне па праву. З гэтых часоў {S3} - мая вотчына, і я нясу вялікую адказнасць, прымаючы ўладу. Наперадзе мяне чакае яшчэ шмат выпрабаванняў, і я разлічваю, што ты і далей не пакінеш мяне. І, вядома, ты заўсёды будзеш маім першым чалавекам.
qstr_I_am_{s4}_the_ruler_|Я {s4}, кіраўнік {s6}
qstr_I_am_{s4}_a_vassal_o|Я {s4}, дваранін {s6}
qstr_{s9}{reg5?_and_the_l|{s9}{reg5?. Валодаю {s8}.:.}
qstr_Your_mission_is_comp|Ваша місія выканана, {S9} хоча, каб вы ішлі за яго арміяй да далейшага паведамлення.
qstr_{s13}_asked_you_to_g|{s13} просіць вас прыгнаць яму {reg3} галоў жывёлы.
qstr_{s9}_asked_you_to_sc|{s9} просіць вас выведаць мясцовасць вакол {s13}, {s14} і {s15}, затым далажыць абстаноўку.
qstr_{s16}_and_{s17}|{s16} і {s17}
qstr_{s16}_{s17}|{s16}, {s17}
qstr_Very_well_I_will_acc|Так і быць, я зноў прыму цябе на службу, калі ты дасі мне клятву вернасці.
qstr_A_pardon_will_only_b|Я дарую цябе, толькі калі ты перадасі мне {s17}. Ты прымаеш мае ўмовы?
qstr_No._There_is_no_chan|Не. Пра свет не можа быць і гаворкі, мяне гэта не цікавіць.
qstr_We_are_not_at_war_wi|Мы ні з кім не ваюем.
qstr_We_are_at_war_with_{|Мы вядзем вайну з {s12}.
qstr_{s9}_asked_you_to_ta|{s9} просіць вас даставіць паведамленне {s13}. {s13} знаходзіўся ў {s4}, калі вы атрымалі гэтае заданне.
qstr_{s9}_asked_you_to_tak|{s9} просіць вас аднесці паведамленне {s13} з {s15}. {s13} знаходзіўся ў {s4}, калі вы атрымалі гэтае заданне.
qstr_{s11}_asked_you_to_e|{s11} просіць вас праводзіць яго {S17} {s13} у {s14}.
qstr_{s13}_asked_you_to_d|{s13} просіць вас разабрацца з разбойнікамі, якія занялі вёску {s15}, а потым далажыць абстаноўку.
